x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
59.427449,21.609621,19.875389,2.9694037,12.431916,4.3033641,16,3,20.609621,8.496636171428573,6.476998000000002,9.562459575,23.2367265,34.2954965951958,0.5422267,0.11,3960.0,35.502275,0.339195,5083.5372,180.56936,84.900979,7.5453407,7065.56,90.405548
59.344293,22.182263,21.84895,2.9660219,12.341835,4.419795,9,6,21.182263,8.912429771428572,6.239180000000001,9.849626025,23.4329665,38.78070741803914,0.5975522,0.11,3960.0,40.183684,0.4329679,8013.8787,363.35158,89.584012,15.071976,10000.0,91.492786
53.941995,29.085209,39.439639,2.2979417,8.856653,4.4168255,16,3,28.085209,15.179265885714287,3.571740000000002,13.468119074999999,23.399257499999997,40.219130782093785,0.7936226,0.11,3960.0,44.209338,0.9859164,1913.4828,197.55739,81.789914,7.5413048,2430.7931,
58.381973,24.215815,23.486135,2.2778045,9.7504963,2.246836,16,4,23.215815,11.741401714285713,7.332582700000003,11.038456374999999,21.858403799999998,40.432949525754516,0.6153381,0.11,3960.0,44.579483,0.5552022,4551.3079,264.61596,85.437638,10.07132,5466.0076,90.076595
59.803036,21.732456,18.619684,2.4802459,14.833388,4.7951464,10,9,20.732456,9.562691057142857,4.2019020000000005,9.746166525,25.699616,51.98623414165423,,0.11,3960.0,,,,,,,,
59.619318,22.42965,19.117384,2.4836251,14.520943,4.714818,11,8,21.42965,10.053928371428572,4.073891,10.093918725,25.735768,50.02884447921869,,0.11,3960.0,,,,,,,,
59.384987,21.735394,18.052384,2.5120952,14.81699,4.8817037,9,8,20.735394,9.501091028571427,4.007806500000001,9.7396732,25.684687,42.43509463675479,,0.11,3960.0,,,,,,,,
58.844309,24.093554,15.798907,3.4880019,11.98176,3.33712,10,3,23.093554,9.233677628571428,5.393617500000001,10.674776525,24.028537,16.782529252112745,0.4052028,0.11,3960.0,17.777002,0.1871857,11022.998,216.07327,88.580204,7.5526085,10000.0,85.277926
52.88,26.997768,22.48864,2.0178489,6.710635,2.3028934,10,5,25.997768,14.2484222,6.230481000000001,12.494421775000001,20.209519,46.767113596317586,0.5216549,0.11,3960.0,56.140148,0.4737995,7519.9907,373.11315,90.083561,12.589149,8342.6889,90.248291
59.985513,21.77616,18.2236,2.4861881,14.930923,4.4129223,11,9,20.77616,9.582023800000002,4.173753499999997,9.766532975,25.819003000000002,52.2287625016298,0.6002767,0.11,3960.0,53.556046,0.6340669,5505.3556,365.5519,84.420485,22.658358,10000.0,92.341446
59.777338,21.901229,17.98315,2.5061331,14.778948,4.4286824,10,8,20.901229,9.6314688,4.1591065,9.824081225,25.7295625,42.826986974020045,0.5553367,0.11,3960.0,43.941661,0.5134484,6968.945,374.70759,86.764721,20.125753,10000.0,91.558657
59.809591,21.522809,17.87665,2.4714754,14.898129,4.4512416,12,8,20.522809,9.430484199999999,4.245261999999997,9.643535649999999,25.659533500000002,51.888096650721195,,0.11,3960.0,,,,,,,,
59.338138,26.296276,19.630564,2.5487286,10.78788,3.4194628,12,3,25.296276,12.685597085714285,5.733051000000003,12.01095585,23.936017999999997,21.721311802037935,0.4984536,0.11,3960.0,23.40544,0.3190235,6449.4768,215.46454,88.417672,7.5535498,7451.2693,89.056201
59.966777,23.875934,24.085818,3.1289746,14.206429,3.4108288,13,6,22.875934,9.796289371428573,3.8389925,10.65572335,26.144396,34.26700111208452,0.6317893,0.11,3960.0,35.773059,0.7379536,4341.9588,335.53927,85.159621,15.061928,6328.9905,89.043901
59.434764,22.884767,17.101071,2.106435,8.9609104,4.0884329,16,3,21.884767,11.133392142857144,9.3140881,10.41577475,20.4032939,51.61069519731325,0.5179585,0.11,3960.0,55.299119,0.3148859,5882.7178,193.98126,86.727313,7.5535424,7656.2131,90.775934
59.333173,22.9929,17.172081,2.1150167,8.9018692,4.0881422,8,3,21.9929,11.193466599999999,9.268267300000002,10.467695825,20.3983192,25.89639338723912,0.4734907,0.11,3960.0,27.782038,0.1552826,13809.381,224.55643,90.820433,7.5535227,10000.0,84.68094
59.50194,23.016571,16.946067,2.1038736,8.9142921,4.1118061,10,3,22.016571,11.232660657142857,9.328392399999998,10.4823171,20.4225776,32.433555005133236,0.4826694,0.11,3960.0,34.778721,0.19399,10766.857,218.72423,90.472252,7.5531603,10000.0,87.007977
55.132783,24.936459,35.30629,2.5916626,8.8249367,2.0487575,16,4,23.936459,11.62843122857143,6.2732253,11.32031385,21.2931662,43.72329010704121,0.767869,0.11,3960.0,49.296224,0.8308227,3072.064,267.28046,83.139279,10.071312,3703.0985,
54.112545,26.644873,19.477914,2.9020542,8.7836257,3.7819782,11,3,25.644873,12.227943742857143,4.950210299999998,12.09692295,22.1060622,27.998036425403537,0.4438675,0.11,3960.0,30.807942,0.2984598,7064.6396,220.80275,89.37994,7.5535336,7995.5604,89.675931
