x1::OSD,x2::Dint,x3::L,x4::tm,x5::hs2,x6::wt,x7::Nt,x8::Nh,m1::Drot,m2::Dsh,m3::he,m4::Rmag,m5::Rs,m6::GFF,p1::W,p2::Tnom,p3::nnom,p4::GFF,p5::BSP_T,p6::BSP_n,p7::BSP_Pm,p8::BSP_Mu,p9::BSP_Irms,p10::MSP_n,p11::UWP_Mu
53.5296,23.248705,38.9728,2.94653,7.654841,4.4619603,9,4,22.248705,9.713157,7.4856067,10.387719,19.279194,53.056957,0.8050658,0.11,3960.0,57.687717,0.554993,4913.6475,285.57498,89.13905,10.073341,5814.7383,92.49721
45.8496,21.725504,38.7328,2.382169,8.075365,2.6829088,11,3,20.725504,9.75388,3.9866827,9.76721,18.938118,32.680073,0.5600377,0.11,3960.0,36.647377,0.452162,4448.2036,210.62376,86.82153,7.5460644,5283.3237,89.81372
57.3696,24.010303,24.0928,2.4781706,8.360435,3.6974957,7,7,23.010303,11.193875,8.319213,10.88561,20.365587,50.22388,0.6310376,0.11,3960.0,55.36461,0.4818156,9641.533,486.46948,91.98468,17.623163,11682.654,91.88635
53.8896,26.295103,39.4528,2.5748205,5.546477,3.6947975,7,4,25.295103,12.632576,8.2507715,12.003847,18.694029,44.5258,0.8152145,0.11,3960.0,54.694683,0.5092863,5711.7563,304.6213,91.0583,10.059845,6311.0557,91.71036
54.0336,22.753664,33.644802,3.3264823,7.7169833,3.2460716,7,5,21.753664,8.599652,7.9229846,10.045212,19.093815,39.24347,0.7032791,0.11,3960.0,43.957592,0.4470003,7833.7734,366.69708,91.207634,12.588394,8968.259,91.47113
57.0336,32.273663,27.6448,2.7254455,6.675427,4.2716537,10,3,31.273664,16.601727,5.704541,14.955471,22.81226,31.04924,0.6520917,0.11,3960.0,37.65824,0.4909753,4383.416,225.37251,89.28223,7.5425286,4873.1265,89.43983
57.6336,29.417664,38.4448,2.6059294,6.49482,2.9930487,7,5,28.417664,14.800758,7.613148,13.557349,21.203651,34.421864,0.8810314,0.11,3960.0,43.00444,0.6938634,5253.7705,381.74527,90.6477,12.60341,5761.679,87.84012
53.4336,25.609665,22.8448,3.4459984,7.8975906,4.5246763,10,3,24.609665,10.40062,6.0143776,11.443333,20.702423,36.610394,0.5059306,0.11,3960.0,40.255642,0.305193,6984.2593,223.21506,90.12836,7.5469265,7867.9473,90.8969
57.2736,26.371264,37.9648,2.977639,8.603184,3.7602117,9,5,25.371264,11.881339,6.847984,11.941222,21.788816,39.681355,0.8624919,0.11,3960.0,44.188892,0.7921103,4266.2793,353.88617,89.026215,12.576502,5069.8984,90.2635
57.8736,23.515265,18.764801,2.8581228,8.422577,2.4816067,6,8,22.515265,10.080371,8.756591,10.543101,20.180208,39.67824,0.5219846,0.11,3960.0,45.007816,0.3412095,15949.598,569.9011,91.76074,20.142677,18257.205,89.666985
