Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Goal 1;Goal 2
21;48.129429;25.139587;10.008335;24.139587;10.352823;3.3020124;11.244290;6.6361065;2.7347724;19.205900;5;9;0.5000000;1.9173307;59.740069;67.983990;0.2866956;22.658387;19.798990;0.1830718;33212.190;2767.6825;636.71883;706.73005;70.011219;90.093641;4.3558603;24.577032;22.660436;19.799637;0.1830539;10000.000;833.33333;191.69359;219.03073;27.337142;87.519038;4.3615292;22.009940;21.681404;6.2909162;330.00000;45.616256;54.679205;9.0629485;83.425237;2.3909051;13.135238;12.950703;2.5018700;83.425237;0.2866956
22;59.489974;21.705756;11.579114;20.705756;8.6267956;2.9386580;9.6182136;11.720925;2.8827226;22.573804;16;5;0.5000000;1.4332604;50.652528;57.224195;0.4285073;12.587993;19.798990;0.3169222;8020.0734;668.33945;266.17029;309.81088;43.640589;85.913797;10.725068;44.133239;12.587977;19.799000;0.1746328;10000.000;833.33333;182.87509;199.69764;16.822549;91.575990;3.2179446;31.116406;6.8020319;19.795667;330.00000;45.616150;51.434215;5.8180648;88.688338;1.9108143;20.183718;4.2600129;7.4102518;88.688338;0.4285073
23;45.254368;24.980436;10.058891;23.980436;9.9527493;3.4452095;11.128915;6.6258247;2.3245965;19.116042;6;8;0.5000000;1.7525822;60.796275;69.045323;0.2669661;20.140789;19.798990;0.1848680;29572.237;2464.3531;572.49872;643.12835;70.629633;89.017801;10.437102;21.377930;20.142737;19.799405;0.1848534;10000.000;833.33333;193.57806;222.46028;28.882212;87.016913;10.470725;18.844201;19.200098;7.0699965;330.00000;45.616992;54.750644;9.1336516;83.317727;6.4384889;10.719218;11.259013;2.8568972;83.317727;0.2669661
24;54.373917;25.670913;15.344468;24.670913;12.200305;2.5680306;11.693449;5.2787518;2.5088024;18.114208;6;4;0.5000000;1.2810124;43.750923;51.371494;0.3945703;10.070394;19.798990;0.1532918;18961.193;1580.0994;304.37796;338.91998;34.542020;89.808208;4.0484029;11.098828;10.071324;19.799327;0.1532754;10000.000;833.33333;160.50965;180.42358;19.913927;88.962680;4.2122434;10.229850;9.8182762;10.780786;330.00000;45.615910;53.837242;8.2213316;84.729285;3.0420761;6.8798138;6.9814071;4.4838740;84.729285;0.3945703
25;57.572952;26.621194;30.677463;25.621194;11.629395;3.1928720;12.012379;10.213955;4.1982503;23.524552;13;5;0.5000000;1.4332604;51.608925;58.531752;0.7596275;12.587993;19.798990;0.9381004;3215.0261;267.91885;315.83659;368.70287;52.866275;85.661550;3.0385005;31.353916;12.580015;19.814321;0.0907178;4277.2781;356.43984;40.633917;45.201142;4.5672257;89.895774;0.6001156;3.9088288;1.3214098;19.798908;330.00000;45.615963;50.133254;4.5172908;90.989432;0.7220055;4.6263813;1.5725734;18.410625;90.989432;0.7596275
26;54.966636;22.387210;11.954224;21.387210;8.9932983;2.9987829;9.9439091;12.367077;2.7952496;23.560682;23;4;0.5000000;1.2810124;51.368185;57.837756;0.3990710;10.070394;19.798990;0.3745518;5149.7532;429.14610;201.98861;250.02934;48.040722;80.785966;17.802968;43.617069;10.071299;19.800109;0.0378981;7825.6203;652.13502;31.057354;36.212715;5.1553602;85.763674;0.0000000;8.4977225;1.0677674;19.798237;330.00000;45.617995;50.782359;5.1643638;89.830398;0.0000000;20.366141;2.7933462;11.179106;89.830398;0.3990710
27;45.921597;25.521534;10.033606;24.521534;10.419625;3.4050214;11.409512;5.3704669;2.3952012;18.131234;5;7;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR
28;51.337822;22.540742;10.227786;21.540742;9.1372915;2.9816191;10.024966;10.108497;2.8386561;21.378868;15;5;0.5000000;1.4332604;57.818473;65.166225;0.3339805;12.587993;19.798990;0.2774556;9850.2213;820.85178;286.19898;327.79737;41.598389;87.309724;9.4010428;40.605832;12.589193;19.800050;0.2672636;10000.000;833.33333;279.87781;318.78776;38.909951;87.794402;8.7970733;39.734462;12.091256;19.797268;330.00000;45.616107;52.290954;6.6748472;87.235178;2.2462113;19.552757;4.8796865;6.5426675;87.235178;0.3339805
29;59.240406;25.368951;19.645656;24.368951;10.290848;3.4149160;11.330747;9.1864383;3.1507665;21.870914;24;3;0.5000000;1.1432198;60.516591;68.157124;0.5907298;7.5527958;19.798990;0.6135459;2770.3322;230.86102;177.99488;221.94150;43.946619;80.199008;6.9067705;31.077475;7.5543540;19.801953;0.0607714;3857.4416;321.45347;24.548619;27.077499;2.5288799;90.660585;0.7997467;4.3365632;0.7905177;19.798783;330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.5907298
30;48.897794;22.610915;26.733045;21.610915;8.2114140;3.4696198;9.9380526;9.6220383;4.2450792;20.927496;5;7;0.5000000;1.5912727;37.679543;44.064041;0.4878669;17.623190;19.798990;0.3469715;13895.657;1157.9714;504.89551;549.33734;44.441835;91.909919;1.5407425;24.634698;17.623118;19.798958;0.3469712;10000.000;833.33333;363.34740;399.82959;36.482189;90.875565;1.8889996;23.799553;17.495863;14.420384;330.00000;45.615958;50.575367;4.9594092;90.194022;0.8006102;8.0313257;5.6507961;5.2132268;90.194022;0.4878669
31;48.257421;22.106782;10.095634;21.106782;8.4607493;3.1649048;9.7621650;9.3866380;4.2371336;20.440029;7;7;0.5000000;1.5912727;56.560499;64.585505;0.2900129;17.623190;19.798990;0.1770861;24180.692;2015.0577;448.41662;492.55193;44.135306;91.039461;2.2899828;35.421856;17.624950;19.799790;0.1770706;10000.000;833.33333;185.42795;214.09336;28.665414;86.610788;2.5305911;32.856732;17.276575;8.5170909;330.00000;45.615969;55.999378;10.383410;81.457991;1.5630638;20.570658;10.691985;3.2258134;81.457991;0.2900129
32;55.341985;21.413279;10.497084;20.413279;8.5578374;2.8686808;9.4894691;12.681798;2.2160910;23.388437;20;5;0.5000000;1.4332604;51.309445;57.661045;0.3847604;12.587993;19.798990;0.2983320;7734.4114;644.53428;241.63273;293.24446;51.611730;82.399760;27.677472;47.188333;12.588971;19.799867;0.1308233;10000.000;833.33333;136.99779;150.48833;13.490540;91.035491;8.9324568;24.554978;4.7591298;19.795781;330.00000;45.617838;51.782727;6.1648892;88.094700;8.2729303;19.039330;3.9233446;7.9427575;88.094700;0.3847604
