Topology::Stator::Outer diameter (mm);Topology::Stator::Inner diameter (mm);Topology::Stator::Length (mm);Topology::Rotor::Outer diameter (mm);Topology::Rotor::Inner diameter (mm);Magnet::TM (mm);Magnet::R (mm);Slot::HS (mm);Slot::WT (mm);Slot::R (mm);Winding::Coil - Conductor::No. turns per coil (1);Winding::Coil - Conductor::No. wires in hand (1);Topology::Airgap::Length (mm);Winding::Coil - Conductor::Conductor diameter (mm);Winding::Fill factors::Gross (%);Winding::Fill factors::Net (%);Masses::Total (kg);Inputs::Max. line current, rms (A);Inputs::Max. Line-Line voltage, rms (V);Base speed::Mechanical torque (N.m);Base speed::Speed (rpm);Base speed::Electrical frequency (Hz);Base speed::Mechanical power (W);Base speed::Machine electrical power (W);Base speed::Machine total losses (W);Base speed::Machine efficiency (%);Base speed::Control angle (deg);Base speed::Phase angle (deg);Base speed::Line current, rms (A);Base speed::Line-Line voltage, rms (V);Maximum speed::Mechanical torque (N.m);Maximum speed::Speed (rpm);Maximum speed::Electrical frequency (Hz);Maximum speed::Mechanical power (W);Maximum speed::Machine electrical power (W);Maximum speed::Machine total losses (W);Maximum speed::Machine efficiency (%);Maximum speed::Control angle (deg);Maximum speed::Phase angle (deg);Maximum speed::Line current, rms (A);Maximum speed::Line-Line voltage, rms (V);User work. pt.::Electrical frequency (Hz);User work. pt.::Mechanical power (W);User work. pt.::Machine electrical power (W);User work. pt.::Machine total losses (W);User work. pt.::Machine efficiency (%);User work. pt.::Control angle (deg);User work. pt.::Phase angle (deg);User work. pt.::Line current, rms (A);User work. pt.::Line-Line voltage, rms (V);Post Process;Comment
21; 55.512000; 24.474880; 36.016002; 23.474880; 10.803381; 2.8393381; 11.027605; 9.6656487; 3.3651240; 21.903089;14;3; 0.5000000; 1.1432198; 34.867808; 40.478423; 0.7439998; 7.5527958; 19.798990; 0.6337547; 3046.5802; 253.88168; 202.19128; 239.22074; 37.029459; 84.520799; 2.4179500; 22.557413; 7.5535428; 19.799556; 0.0644337; 3783.4592; 315.28827; 25.528826; 29.409969; 3.8811423; 86.803310; 0.4451336; 2.9220707; 0.8589336; 19.798034; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;
22; 56.112000; 21.618880; 16.816002; 20.618880; 9.0041415; 2.7189578; 9.6297005; 6.9504113; 2.4411708; 17.759851;9;4; 0.5000000; 1.2810124; 48.915056; 56.342800; 0.4518918; 10.070394; 19.798990; 0.2107113; 13074.860; 1089.5716; 288.50515; 317.58787; 29.082713; 90.842625; 2.5632095; 23.144272; 10.070164; 19.801907; 0.0201630; 15031.171; 1252.5976; 31.737814; 42.639367; 10.901553; 74.433126; 0.6453368; 2.8851146; 1.2452502; 19.797502; 330.00000; 45.616122; 52.418675; 6.8025523; 87.022655; 1.4739303; 11.869599; 5.2258600; 5.9072166;1;
23; 59.712000; 28.282880; 21.616001; 27.282880; 12.205248; 3.4984047; 12.766839; 5.7282479; 2.1881481; 19.869688;9;4; 0.5000000; 1.2810124; 51.283867; 59.069247; 0.6041744; 10.070394; 19.798990; 0.3309683; 8847.8697; 737.32248; 306.65764; 342.46285; 35.805206; 89.544791; 12.952349; 7.5005292; 10.071352; 19.799225; 0.0325291; 9470.5820; 789.21516; 32.260940; 46.875842; 14.614903; 68.822101; 2.1077425; 0.9359394; 1.3681711; 19.798132; 330.00000; 45.615685; 51.797474; 6.1817893; 88.065462; 4.7166448; 2.7594082; 3.4422235; 8.6735274;1;
24; 59.352000; 25.236480; 21.136001; 24.236480; 12.285828; 2.3701144; 11.525711; 7.8366120; 2.9553112; 20.454852;10;4; 0.5000000; 1.2810124; 42.092181; 48.559564; 0.5776563; 10.070394; 19.798990; 0.3626957; 7613.3811; 634.44843; 289.16694; 320.59149; 31.424549; 90.197947; 3.0123198; 21.828475; 10.068724; 19.802892; 0.0344846; 8800.3451; 733.36210; 31.779968; 39.467198; 7.6872305; 80.522483; 0.5486688; 2.6305176; 1.1523413; 19.798105; 330.00000; 45.616092; 50.202411; 4.5863183; 90.864347; 1.0951224; 7.1736157; 3.1193834; 9.3486455;1;
25; 56.952000; 36.660480; 37.936001; 35.660480; 19.484515; 2.8507712; 17.117547; 6.1629315; 4.0075041; 24.493171;9;6;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;EXPRESSION_ERROR;1;
26; 48.696000; 25.503040; 30.928000; 24.503040; 12.654771; 2.2808429; 11.681309; 6.0697177; 4.3296093; 18.821238;5;6; 0.5000000; 1.5911023; 59.557689; 68.609450; 0.5703892; 15.105592; 19.798990; 0.4077077; 10798.037; 899.83642; 461.02277; 495.56879; 34.546025; 93.029015; 1.5021217; 16.949035; 15.107108; 19.799289; 0.0415679; 11807.496; 983.95798; 51.397743; 62.802508; 11.404764; 81.840272; 0.4402291; 1.9587380; 1.8328534; 19.798307; 330.00000; 45.615973; 49.530404; 3.9144305; 92.096914; 0.5488750; 4.7349123; 4.1611786; 6.8817781;1;
27; 58.896000; 24.551040; 34.528001; 23.551040; 10.053873; 3.2412922; 10.965197; 10.187725; 3.7851902; 22.463245;13;3; 0.5000000; 1.1432198; 31.762243; 37.142936; 0.7954605; 7.5527958; 19.798990; 0.5678965; 3464.7355; 288.72796; 206.04778; 240.38396; 34.336187; 85.716107; 1.9629498; 21.875574; 7.5556128; 19.793943; 0.0576711; 4230.3577; 352.52981; 25.548409; 29.545235; 3.9968258; 86.472181; 0.4240337; 2.7915393; 0.8627965; 19.798098; 330.00000; 45.615981; 50.397847; 4.7818652; 90.511767; 0.6528592; 5.0286267; 1.5460523; 18.818299;1;
28; 59.496000; 21.695040; 15.328001; 20.695040; 8.2529047; 3.1217762; 9.5670759; 10.007119; 2.5065851; 20.854639;11;5; 0.5000000; 1.4332604; 42.368114; 48.469352; 0.4718622; 12.587993; 19.798990; 0.2901139; 10657.149; 888.09573; 323.77118; 361.56947; 37.798291; 89.546050; 6.0839658; 33.136218; 12.570280; 19.830536; 0.0290131; 13470.569; 1122.5474; 40.926923; 52.112966; 11.186043; 78.535010; 0.9792288; 4.6697807; 1.5234570; 19.795448; 330.00000; 45.616286; 51.466791; 5.8505049; 88.632466; 1.8764785; 14.206388; 4.7295281; 6.4642030;1;
29; 58.536000; 21.504640; 34.048001; 20.504640; 10.132725; 2.1138661; 9.7238535; 14.830720; 4.1977013; 25.583040;17;4; 0.5000000; 1.2810124; 36.276224; 41.681234; 0.7786543; 10.070394; 19.798990; 0.8083025; 2303.5270; 191.96059; 194.98259; 251.93759; 56.955000; 77.393211; 4.4074446; 43.167309; 10.071913; 19.801240; 0.0798962; 3911.5349; 325.96124; 32.726670; 36.645453; 3.9187834; 89.306222; 0.8100256; 6.8479346; 1.0764128; 19.797794; 330.00000;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;
30; 50.976000; 28.930240; 23.968001; 27.930240; 14.813686; 2.4253856; 13.358774; 5.5814657; 4.5037520; 20.046586;7;4; 0.5000000; 1.2810124; 55.252524; 63.910559; 0.5010507; 10.070394; 19.798990; 0.3466283; 8504.9969; 708.74974; 308.72143; 335.43109; 26.709662; 92.037213; 1.0768695; 13.792991; 10.063265; 19.815829; 0.0350583; 9236.6044; 769.71704; 33.910308; 41.746910; 7.8366026; 81.228305; 0.4394035; 1.4866930; 1.2180427; 19.798552; 330.00000; 45.615977; 49.819071; 4.2030935; 91.563284; 0.5976766; 4.3974998; 3.2614480; 8.8236754;1;
